"Trs_Id","Agency_Type_Desc","Institution_Type_Desc","Organization_Type_Desc","Fy_Month_Num","Fy_Day_Num","Fy_Year_Num","Company_Nm","Street1_Nm","Street2_Nm","City_Nm","State_Desc","Zip_Cd","Zip_4_Cd","Url_Cd","Ftavc_Cd","Logo_Cd","Service_Area","Service_Area_Population","Waiver_9_Req_Fl","Non_Uza_Served_Fl","Veh_Operated_Comment","Institutional_Structure_Desc","other_Url_Cd","Po_Box","Other_Cap_Use_Comment_Desc","Other_Option_B_Comment_Desc","Voluntary_Reporter_Fl","operate_fgw_mbdo_fl","operate_fgw_mbpt_fl"
"5010","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",12,31,2008,"Metro Regional Transit Authority                                                                    ","416 Kenmore Boulevard                                                                               ","                                                                                                    ","Akron                              ","OH                  ",44301,"    ","www.akronmetro.org                                                                                  ",1235,"Metro                    ","420 ","542,899 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5011","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",12,31,2008,"Stark Area Regional Transit Authority                                                               ","1600 Gateway Boulevard, S.E.                                                                        ","                                                                                                    ","Canton                             ","OH                  ",44707,3595,"www.sartaonline.com                                                                                 ",1226,"SARTA                    ","567 ","378,098 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5012","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",12,31,2008,"Southwest Ohio Regional Transit Authority                                                           ","602 Main Street                                                                                     ","Suite 1100                                                                                          ","Cincinnati                         ","OH                  ",45202,2549,"www.go-metro.com                                                                                    ",2020,"SORTA / Metro            ","262 ","845,303 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","N"
"5015","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",12,31,2008,"The Greater Cleveland Regional Transit Authority                                                    ","1240 West 6th Street                                                                                ","                                                                                                    ","Cleveland                          ","OH                  ",44113,1331,"www.riderta.com                                                                                     ",1237,"GCRTA                    ","458 ","1,412,140 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","N"
"5016","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",12,31,2008,"Central Ohio Transit Authority                                                                      ","1600 McKinley Avenue                                                                                ","                                                                                                    ","Columbus                           ","OH                  ",43222,"    ","www.cota.com                                                                                        ",1228,"COTA                     ","325 ","1,057,915 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5017","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",12,31,2008,"Greater Dayton Regional Transit Authority                                                           ","4 South Main Street                                                                                 ","                                                                                                    ","Dayton                             ","OH                  ",45402,2055,"www.greaterdaytonrta.org                                                                            ",1238,"GDRTA                    ","274 ","559,062 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5019","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",12,31,2008,"City of Middletown - Middletown Transit System                                                      ","One Donham Plaza                                                                                    ","                                                                                                    ","Middletown                         ","OH                  ",45042,"    ","www.cityofmiddletown.org                                                                            ",1231,"MTS                      ","20 ","49,490 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5020","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",12,31,2008,"Springfield City Area Transit                                                                       ","100 Jefferson Street                                                                                ","                                                                                                    ","Springfield                        ","OH                  ",45501,1265,"www.scatrideline.com                                                                                ",1242,"SCAT                     ","25 ","73,675 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",1265,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y"," ","N"
"5021","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","1. Independent Agency with an elected Board of Directors                                            ","                                                                                                                                                                                                        ",12,31,2008,"Portage Area Regional Transportation Authority                                                      ","2000 Summit Road                                                                                    ","                                                                                                    ","Kent                               ","OH                  ",44240,"    ","www.partaonline.org                                                                                 ",2113,"PARTA                    ","492 ","155,012 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5022","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","6. Unit of State Government                                                                         ","                                                                                                                                                                                                        ",12,31,2008,"Toledo Area Regional Transit Authority                                                              ","1127 West Central Avenue                                                                            ","                                                                                                    ","Toledo                             ","OH                  ",43697,792,"www.tarta.com                                                                                       ",1243,"TARTA                    ","149 ","426,230 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",792,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y"," "
"5024","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",12,31,2008,"Western Reserve Transit Authority                                                                   ","604 Mahoning Avenue                                                                                 ","                                                                                                    ","Youngstown                         ","OH                  ",44502,"    ","www.wrtaonline.com                                                                                  ",1234,"WRTA                     ","63 ","231,911 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5025","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",12,31,2008,"Duluth Transit Authority                                                                            ","2402 West Michigan Street                                                                           ","                                                                                                    ","Duluth                             ","MN                  ",55806,1822,"www.duluthtransit.com                                                                               ",1221,"DTA                      ","143 ","122,970 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5026","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",12,31,2008,"City of Moorhead Transit                                                                            ","500 Center Avenue                                                                                   ","                                                                                                    ","Moorhead                           ","MN                  ",56561,"    ","www.ci.moorhead.mn.us                                                                               ",1159,"MAT                      ","23 ","38,768 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ",779,"                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y"," ","N"
"5027","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","3. Subsidiary Operating Unit of Regional Agency                                                     ","                                                                                                                                                                                                        ",12,31,2008,"Metro Transit                                                                                       ","560 Sixth Avenue, North                                                                             ","                                                                                                    ","Minneapolis                        ","MN                  ",55411,4398,"www.metrotransit.org                                                                                ",1305,"                         ","589 ","1,761,308 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","Y","N"
"5028","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",9,30,2008,"St. Cloud Metropolitan Transit Commission                                                           ","665 Franklin Avenue, N.E.                                                                           ","                                                                                                    ","St. Cloud                          ","MN                  ",56304,"    ","www.stcloudmtc.com                                                                                  ",1223,"Metro Bus                ","29 ","99,119 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5029","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",9,30,2008,"Bay Metropolitan Transit Authority                                                                  ","1510 North Johnson Street                                                                           ","                                                                                                    ","Bay City                           ","MI                  ",48708,"    ","www.baymetro.com                                                                                    ",1208,"Bay Metro                ","447 ","110,000 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5030","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",6,30,2008,"Battle Creek Transit                                                                                ","339 West Michigan                                                                                   ","                                                                                                    ","Battle Creek                       ","MI                  ",49017,"    ","www.battlecreektransit.com                                                                          ",1214,"BCT                      ","104 ","83,000 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5031","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",6,30,2008,"Suburban Mobility Authority for Regional Transportation                                             ","535 Griswold                                                                                        ","Suite 600                                                                                           ","Detroit                            ","MI                  ",48226,"    ","www.smartbus.org                                                                                    ",1209,"SMART                    ","1,108 ","3,256,233 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5032","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",9,30,2008,"Mass Transportation Authority                                                                       ","1401 South Dort Highway                                                                             ","                                                                                                    ","Flint                              ","MI                  ",48503,"    ","www.mtaflint.org                                                                                    ",1216,"MTA                      ","258 ","436,141 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5033","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",9,30,2008,"Interurban Transit Partnership                                                                      ","300 Ellsworth Avenue, S.W.                                                                          ","                                                                                                    ","Grand Rapids                       ","MI                  ",49503,4005,"www.ridetherapid.org                                                                                ",1210,"The Rapid                ","185 ","482,740 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5034","1. Public agency or authority that directly operates all transit service (not a State DOT)                                                            ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",9,30,2008,"City of Jackson Transportation Authority                                                            ","2350 East High Street                                                                               ","                                                                                                    ","Jackson                            ","MI                  ",49203,3490,"www.jacksontransit.com                                                                              ",1217,"JTA                      ","86 ","158,000 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5035","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","4. Unit of City or Municipal Government                                                             ","                                                                                                                                                                                                        ",12,31,2008,"Kalamazoo Metro Transit System                                                                      ","530 North Rose Street                                                                               ","                                                                                                    ","Kalamazoo                          ","MI                  ",49007,"    ","www.kalamazoocity.org                                                                               ",1211,"Metro Transit            ","69 ","184,861 ","N"," ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
"5036","2. Public agency or authority that contracts for some or all transit service (not a State DOT)                                                        ","2. Independent Agency with an appointed Board of Directors                                          ","                                                                                                                                                                                                        ",9,30,2008,"Capital Area Transportation Authority                                                               ","4615 Tranter Avenue                                                                                 ","                                                                                                    ","Lansing                            ","MI                  ",48910,"    ","www.cata.org                                                                                        ",1218,"CATA                     ","136 ","276,898 ","N","N","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","                                                                                                    ","          ","                                                                                                                                                                                                        ","                                                                                                                                                                                                        ","Y","N","N"
